,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
752,Gensol Engineer.,1025.75,72.62,3884.76,0.0,19.78,171.41,398.82,143.29,14.56,53.52
753,Thangamayil Jew.,1400.55,31.19,3842.99,0.42,28.24,-8.99,982.74,27.37,20.32,123.24
754,Guj Inds. Power,252.85,19.4,3824.3,1.51,66.18,1.64,372.69,-12.13,7.66,198.51
755,Bajaj Consumer,266.55,24.48,3806.15,1.83,35.58,-12.06,239.96,-3.79,23.2,155.43
756,Apeejay Surrend.,178.1,55.27,3800.21,0.0,18.43,73.87,155.68,8.05,12.52,68.77
757,Zaggle Prepaid,310.25,86.27,3800.01,0.0,19.16,153.44,273.37,46.3,17.25,44.02
758,IRB InvIT Fund,65.41,10.18,3797.05,,184.0,-19.41,543.69,1.12,9.37,373.09
759,Nirlon,421.05,18.52,3794.58,6.18,51.18,2.96,153.36,3.54,27.73,205.56
760,Greenply Industr,305.95,55.98,3784.56,0.18,28.36,74.73,599.79,40.4,11.14,67.63
761,Styrenix Perfor.,2141.75,21.74,3767.28,4.88,49.36,16.31,598.71,-2.69,31.47,173.17
762,ISMT,124.55,19.9,3742.78,0.39,19.41,135.14,596.11,-8.35,17.9,187.89
763,JTL Industries,218.15,33.23,3741.11,0.05,29.1,-20.6,465.94,-1.1,24.67,112.56
764,Fischer Chemic,699.0,2032.39,3739.66,0.0,2.59,,20.79,,,1.84
765,Hikal,302.35,53.56,3728.01,0.4,33.97,-5.64,514.1,-5.72,7.81,69.6
766,Kalyani Steels,842.8,14.87,3679.64,1.17,73.46,-7.83,448.8,18.97,,247.41
767,Cigniti Tech.,1341.45,22.1,3662.17,0.22,27.14,-44.88,455.64,7.22,31.17,165.59
768,Ashapura Minech.,400.0,18.44,3659.39,0.0,67.37,-49.26,440.08,-36.79,13.87,198.14
769,Bannari Amm.Sug.,2912.0,23.99,3651.58,0.39,21.83,-56.27,421.16,-35.84,11.86,152.3
770,Savita Oil Tech,527.35,17.83,3644.0,0.74,32.74,-10.1,973.31,1.85,19.85,204.29
771,Maithan Alloys,1251.0,10.47,3641.86,0.47,142.01,44.79,433.27,-18.97,15.02,348.96
772,Indostar Capital,266.05,31.27,3620.41,0.0,35.26,-53.58,474.37,66.35,8.35,115.84
773,Yatharth Hospit.,421.6,31.61,3619.45,0.0,38.35,121.42,177.75,23.62,23.59,114.48
774,La Opala RG,326.0,28.36,3618.65,1.52,23.66,-18.97,82.52,-24.21,19.2,127.72
775,Shipping Land,77.35,75.84,3602.95,0.0,8.32,-20.38,3.96,42.45,1.72,47.49
776,Honda India,3543.25,40.24,3592.83,0.48,15.8,-22.73,231.16,-26.22,15.51,89.24
777,VST Till. Tract.,4130.35,29.38,3568.45,0.61,35.12,-12.53,273.44,-15.24,,121.51
778,Gufic BioScience,355.45,41.39,3564.36,0.03,20.05,10.71,194.99,12.68,16.93,86.14
779,Ideaforge Tech,830.6,74.44,3562.01,0.0,11.79,317.53,104.6,170.56,12.36,47.85
780,Lumax Auto Tech.,522.0,27.32,3557.75,0.84,51.35,82.24,757.38,53.52,17.69,130.18
781,Nucleus Soft.,1326.4,18.54,3551.21,0.77,52.14,-22.93,210.26,1.97,36.71,191.6
782,Delta Corp,132.15,17.11,3538.61,0.91,72.47,-34.98,194.81,-9.1,11.84,206.97
783,Ramky Infra,511.35,11.48,3538.47,0.0,57.51,239.23,581.19,0.83,21.09,307.79
784,Bajel Projects,306.5,352.29,3533.42,0.0,7.07,1766.67,489.16,147.34,10.28,10.03
785,MPS,2048.3,29.53,3503.81,3.66,28.71,-10.64,149.42,17.23,36.2,118.77
786,Guj. Themis Bio.,480.55,59.0,3490.81,0.22,15.89,35.93,42.01,52.27,44.99,59.16
787,Swaraj Engines,2873.4,25.3,3490.4,3.32,35.18,0.63,350.96,-2.45,52.0,137.87
788,Sindhu Trade,22.6,49.27,3484.77,0.0,-101.97,-424.54,445.69,16.98,6.57,70.77
789,Fiem Industries,1323.3,21.02,3482.96,1.52,46.22,21.54,557.52,27.8,26.67,165.71
790,BF Utilities,921.5,343.95,3470.36,0.0,9.38,1019.61,2.38,16.1,8.61,10.09
791,Navneet Educat.,153.35,18.03,3468.96,1.66,47.91,108.41,435.28,6.42,16.21,192.56
792,Steel Str. Wheel,220.0,13.23,3452.46,0.46,515.56,58.47,1068.67,6.34,17.5,261.36
793,Thyrocare Tech.,651.7,48.53,3450.96,2.78,19.23,93.66,141.23,13.15,18.62,71.14
794,Avalon Tech,525.0,123.27,3449.89,0.0,7.06,-68.91,216.81,-20.23,6.51,27.99
795,Uflex,475.4,90.52,3432.87,0.63,-270.95,105.49,3426.46,1.37,6.27,37.91
796,Dalmia Bharat,421.25,12.56,3410.03,0.95,93.37,-25.46,749.56,-34.77,10.98,271.72
797,Sandhar Tech,565.0,30.99,3400.77,0.43,35.86,47.39,917.83,19.98,12.05,109.78
798,Salasar Techno,20.07,64.26,3400.39,0.1,16.97,12.03,367.33,24.65,15.69,52.93
799,Datamatics Glob.,575.85,17.25,3399.3,0.64,52.1,-10.88,412.71,-0.86,21.98,197.13
800,Prakash Industri,189.6,9.78,3395.43,0.0,88.77,53.16,890.44,-11.88,11.63,348.17
801,KDDL Ltd,2698.2,32.96,3382.77,2.16,34.81,58.33,347.61,16.16,18.13,102.68
802,Tide Water Oil,1905.55,23.2,3320.19,2.72,42.92,24.73,486.82,3.6,23.67,142.93
803,TVS Srichakra,4331.0,28.98,3317.54,0.72,23.72,24.73,765.3,12.07,10.94,114.37
804,Network People,1707.05,123.84,3309.3,0.0,16.56,260.77,75.11,207.14,122.86,26.72
805,NRB Bearings,340.0,33.84,3295.35,1.5,31.77,-40.8,284.61,-8.91,14.59,97.35
806,Vadilal Inds.,4546.1,22.4,3268.61,0.03,27.64,-3.96,251.45,-1.87,27.21,145.95
807,Dollar Industrie,575.35,36.51,3263.19,0.52,32.02,770.11,488.37,20.18,13.86,89.39
808,Apollo Micro Sys,109.05,102.88,3259.1,0.02,13.13,55.38,135.44,26.76,12.53,31.67
809,Repco Home Fin,518.6,8.2,3244.46,0.51,108.07,31.63,392.58,15.36,10.53,394.7
810,CARE Ratings,1084.0,32.19,3237.9,1.65,24.55,22.86,90.15,16.31,20.59,100.52
811,Blue Cloud Soft.,148.32,201.17,3235.49,0.0,8.58,,213.09,,,16.08
812,Pitti Engg.,1001.3,35.6,3209.13,0.27,40.36,62.48,327.88,32.48,19.95,90.2
813,Supriya Lifesci.,397.3,26.83,3197.61,0.15,36.93,-3.4,158.18,11.18,21.75,119.11
814,Automotive Axles,2110.95,19.24,3189.6,1.52,44.1,-13.21,571.52,-17.53,26.78,166.16
815,KP Green Engg.,636.95,89.54,3184.75,0.0,24.2,,245.12,,103.93,35.58
816,Wendt India,15899.95,77.64,3179.99,0.32,13.38,4.61,70.07,18.9,27.05,40.95
817,Shaily Engineer.,691.85,55.39,3173.35,0.0,19.34,94.76,170.56,26.81,13.97,57.29
818,Ganesha Ecosphe.,1251.25,78.18,3171.55,0.16,21.6,40.44,305.53,1.32,8.0,40.57
819,Veritas (India),1180.9,16.94,3165.99,0.0,24.3,-16.38,1094.54,66.09,8.47,186.85
820,Balu Forge,307.5,33.68,3154.68,0.0,28.28,85.56,161.17,30.21,29.95,93.67
821,Dredging Corpn.,1123.2,86.31,3144.96,0.0,-23.47,89.47,277.89,-17.65,3.94,36.44
822,HPL Electric,486.15,71.73,3126.01,0.23,13.72,21.87,424.09,16.91,10.99,43.56
823,Arvind SmartSp.,682.0,74.43,3092.45,0.24,19.5,66.56,117.37,26.64,16.94,41.57
824,HLE Glascoat,452.25,96.21,3087.33,0.25,14.8,-56.43,306.9,2.87,12.8,32.1
825,PTC India Fin,47.83,19.12,3072.01,2.14,13.85,-61.96,176.46,-8.92,8.92,160.75
826,Shivalik Bimetal,532.2,37.8,3065.67,0.22,25.3,33.86,111.77,1.49,33.79,81.13
827,Marathon Nextgen,597.0,18.42,3057.12,0.19,40.44,145.5,155.42,-8.82,15.88,166.47
828,Somany Ceramics,744.35,31.03,3052.11,0.41,33.88,18.65,737.52,8.58,14.5,98.27
829,Flair Writing,289.55,25.8,3051.72,0.0,32.41,9.23,228.76,-6.16,22.63,118.17
830,Shalby,280.0,36.21,3024.29,0.42,16.04,15.4,244.23,22.74,11.75,83.5
831,Vertoz Advertis.,713.1,191.23,3018.03,0.0,4.69,8.78,45.66,33.04,13.02,15.78
832,SEPC,21.35,132.09,3009.95,0.0,6.67,133.1,147.82,3.93,4.25,22.78
833,Saksoft,283.0,31.23,3000.13,0.27,23.2,-7.16,194.9,7.05,27.74,96.17
834,Indoco Remedies,324.35,33.74,2989.92,0.7,22.03,-65.71,449.64,5.02,10.33,88.77
835,SML ISUZU,2063.15,27.7,2985.39,0.0,52.32,95.3,679.6,16.53,23.81,107.88
836,Nilkamal Ltd,1997.0,24.36,2979.55,1.02,35.57,-26.34,834.19,0.64,11.35,122.25
837,Goodluck India,935.6,22.56,2972.79,0.55,37.21,31.87,902.49,18.04,17.56,131.93
838,Spectrum Electr.,1898.65,150.26,2963.13,0.05,12.61,,197.72,,18.94,19.72
839,Landmark Cars,714.15,50.63,2951.4,0.32,10.97,-58.46,863.97,1.19,12.16,58.27
840,Mayur Uniquoters,666.6,24.54,2929.91,0.28,31.98,16.8,216.1,8.7,18.9,119.55
841,Thejo Engg.,2717.05,52.53,2924.72,0.07,13.45,165.53,140.82,15.6,28.65,55.64
842,Dolphin Offshore,730.0,731.95,2920.34,0.0,1.46,135.89,1.95,,-0.19,3.99
843,M M Forgings,1203.6,20.08,2905.61,0.65,38.04,34.27,388.58,4.08,15.76,144.75
844,Morepen Labs.,56.7,30.15,2898.4,0.0,28.74,243.2,423.07,16.33,16.83,96.16
845,Rajratan Global,569.6,40.25,2891.93,0.35,20.24,-0.2,239.57,9.18,17.52,71.83
846,SEAMEC Ltd,1136.0,24.12,2888.28,0.09,52.74,1235.13,236.38,87.84,12.56,119.7
847,K C P,223.65,15.27,2883.32,0.04,84.51,73.66,625.03,4.54,15.42,188.95
848,EMS,516.85,18.84,2870.08,0.19,47.38,33.62,245.26,28.92,30.3,152.38
849,Jash Engineering,2314.85,42.9,2864.92,0.17,38.95,17.25,217.17,28.62,25.07,66.77
850,Vindhya Telelink,2411.9,10.12,2858.09,0.62,108.35,6.95,1289.98,-6.18,10.88,282.69
851,Bhagiradha Chem.,274.15,140.51,2852.63,0.15,8.12,-17.31,110.32,-9.99,8.71,20.3
852,Stylam Industrie,1677.0,21.96,2842.21,0.15,37.56,43.26,239.88,1.29,33.72,129.24
853,Hindware Home In,392.4,110.11,2836.86,0.13,2.73,-90.59,773.67,0.76,9.51,25.77
854,EIH Assoc.Hotels,927.4,34.87,2825.79,0.65,36.81,40.66,132.5,22.88,25.23,81.03
855,S H Kelkar & Co.,203.7,23.01,2819.62,0.96,33.43,542.88,533.06,12.83,12.41,122.42
856,K.P. Energy,420.6,48.07,2805.01,0.04,24.9,60.85,207.26,39.62,40.99,58.32
857,Quick Heal Tech,523.6,115.65,2803.6,0.51,14.04,311.45,80.03,62.4,6.15,24.24
858,Tarsons Products,525.4,65.58,2795.42,0.0,10.32,,105.72,,,42.64
859,India Glycols,900.0,16.11,2786.36,0.83,42.21,5.95,926.14,49.54,10.73,172.99
860,Innova Captab,484.5,29.35,2772.5,0.0,28.72,66.49,262.63,9.0,18.45,94.35
861,Capacit'e Infra.,326.6,22.92,2763.13,0.0,51.81,139.08,598.89,34.06,16.05,120.28
862,ESAF Small Fin,53.63,6.53,2760.75,0.0,43.35,-57.24,1002.0,29.49,10.23,425.57
863,Tasty Bite Eat.,10750.0,66.47,2758.43,0.02,2.55,-72.07,108.91,-0.65,16.66,41.52
864,Goodyear India,1195.0,29.09,2756.83,1.25,-4.21,-112.53,550.53,-15.64,21.98,94.85
865,Apollo Pipes,660.0,64.31,2729.29,0.09,6.52,-56.62,245.79,-2.44,12.23,42.44
866,HMA Agro Inds.,54.5,27.18,2729.2,0.54,1.54,-91.01,1390.14,65.74,14.2,100.59
867,D.P. Abhushan,1221.0,43.93,2717.31,0.08,16.2,261.61,556.78,44.75,26.8,61.86
868,Satin Creditcare,245.8,6.24,2715.42,0.0,128.22,30.04,642.11,49.61,16.65,435.94
869,Man Industries,419.45,25.82,2715.31,0.47,24.13,-19.11,810.68,35.64,15.3,105.14
870,Pearl Global Ind,622.3,15.96,2713.07,1.37,48.99,37.51,877.37,20.2,20.39,169.64
871,Polyplex Corpn,863.85,71.72,2711.8,2.65,31.37,10.64,1678.69,0.7,1.8,37.83
872,Tinna Rubber,1582.25,67.29,2710.29,0.21,15.66,131.66,109.85,51.06,32.26,40.29
873,Venky's (India),1921.05,34.28,2706.25,0.32,33.51,32.82,895.94,-14.06,8.42,79.07
874,Jeena Sikho,1083.9,38.92,2694.57,0.1,37.38,,167.05,,74.5,69.21
875,Sai Silks,174.0,26.44,2668.57,0.0,28.73,41.95,359.64,11.02,15.31,100.87
876,Kingfa Science,2202.0,21.75,2666.74,0.0,33.55,-8.38,404.42,10.62,30.07,122.52
877,Novartis India,1080.0,31.31,2666.62,2.3,14.68,-41.33,81.17,6.62,16.05,85.19
878,NIBE,2028.25,120.74,2663.54,0.01,12.19,418.72,149.38,139.89,20.16,22.06
879,Bhansali Engg.,106.97,14.71,2662.04,3.83,41.35,193.89,321.18,-2.05,24.44,179.69
880,Lumax Industries,2845.85,23.96,2660.86,0.96,36.07,51.68,742.69,22.13,17.2,111.02
881,India Pesticides,230.5,43.39,2654.49,0.32,1.03,-96.59,126.53,-36.15,10.76,61.2
882,Universal Cables,765.0,24.55,2654.17,0.4,48.57,18.29,580.33,-0.44,10.03,108.22
883,PSP Projects,668.1,21.37,2648.44,0.38,15.25,-67.07,649.17,-10.76,19.1,123.9
884,Mold-Tek Pack.,797.0,39.81,2648.33,0.75,17.97,-21.87,176.87,-4.24,14.47,66.59
885,Accelya Solution,1772.35,22.76,2646.07,3.67,0.2,-21.29,130.99,9.65,56.12,117.87
886,E2E Networks,1823.75,120.73,2639.92,0.0,3.53,39.53,29.41,67.2,25.04,21.87
887,Confidence Petro,82.81,25.96,2628.23,0.12,13.93,-48.36,630.54,-5.69,13.5,101.37
888,Alembic,102.01,9.77,2619.42,2.13,72.15,22.58,49.04,32.11,4.86,268.62
889,Jindal Poly Film,597.0,36.59,2614.03,0.69,-18.88,96.25,1076.56,32.98,2.78,71.5
890,AXISCADES Tech.,623.05,79.66,2613.64,0.0,8.99,-45.25,255.82,13.2,13.67,32.81
891,Vakrangee,24.49,656.92,2594.72,0.2,2.19,267.65,53.89,5.79,7.32,3.95
892,Hind.Oil Explor.,196.0,13.19,2591.99,0.0,70.61,-59.33,289.61,65.41,18.54,196.46
893,Tatva Chintan,1101.2,84.95,2575.92,0.21,9.61,-53.21,98.27,-21.07,6.97,30.35
894,BLS E-Services,283.2,81.95,2573.07,0.0,10.91,20.35,73.65,1.29,16.58,31.4
895,RPG LifeScience.,1553.0,29.32,2568.51,1.0,13.24,27.92,126.99,7.17,34.67,87.66
896,Den Networks,53.64,11.95,2559.87,0.0,77.05,-38.95,258.02,-8.8,7.3,212.79
897,EFC (I),512.5,43.99,2551.09,0.0,27.94,216.06,93.2,54.51,18.8,57.98
898,Cupid,94.75,63.83,2543.76,0.25,23.72,184.41,62.9,51.57,22.36,39.85
899,Vishnu Chemicals,388.0,25.24,2542.48,0.1,27.73,-22.17,300.35,-10.59,19.13,101.1
900,Arman Financial,2418.05,14.58,2533.31,0.0,50.82,40.39,182.85,22.46,21.89,173.57
901,Foseco India,3962.0,39.02,2531.71,0.64,15.85,11.31,122.55,10.46,31.71,63.91
902,Oriental Hotels,141.75,50.98,2531.63,0.35,19.33,-6.8,107.48,-3.52,10.8,49.65
903,Ajmera Realty,713.15,24.61,2530.27,0.43,29.47,94.52,231.8,102.89,11.72,102.84
904,Huhtamaki India,334.5,23.15,2526.17,1.5,26.03,-26.66,610.12,-7.77,12.46,124.38
905,Mangalam Cement,915.0,42.11,2515.97,0.17,17.28,10.7,437.31,-4.79,11.92,59.72
906,Dolat Algotech,142.9,15.97,2515.04,0.17,68.05,893.43,87.78,969.18,27.11,157.33
907,Ugro Capital,270.9,21.07,2514.87,0.0,32.69,132.83,322.41,54.29,12.16,119.34
908,Dreamfolks Servi,478.8,36.44,2501.75,0.1,17.98,-28.93,281.14,18.25,46.02,68.63
909,SJS Enterprises,798.75,29.23,2479.18,0.0,27.18,73.6,186.79,75.27,21.91,84.82
910,Prec. Wires (I),138.35,33.94,2471.75,0.62,21.92,70.32,883.99,10.55,,72.85
911,Vishnu Prakash R,197.4,20.12,2460.44,0.0,67.13,68.2,657.21,44.22,24.68,122.19
912,Eveready Inds.,337.95,36.8,2456.2,0.29,8.05,155.94,280.9,-1.84,16.01,66.76
913,ADF Foods,223.45,33.27,2454.96,0.52,25.04,55.62,153.63,24.79,21.69,73.79
914,Ujaas Energy,232.65,63.49,2449.84,0.0,-4.14,503.1,6.84,-20.74,14.05,38.59
915,Panama Petrochem,403.05,12.51,2438.11,2.07,60.98,20.02,740.97,45.17,24.86,195.15
916,Artemis Medicare,178.0,49.58,2437.12,0.25,13.92,33.85,216.87,15.95,13.64,49.15
917,Mukand,168.0,23.61,2427.51,1.16,29.09,-76.8,1239.16,-5.58,10.82,102.7
918,IOL Chemicals,412.7,17.84,2422.76,1.24,28.19,-56.81,503.92,-14.18,12.3,135.42
919,Federal-Mogul Go,435.3,19.08,2421.56,0.0,43.17,27.26,427.81,4.42,16.49,126.88
920,Abans Holdings,481.65,29.54,2415.3,0.0,21.17,-7.19,252.32,-55.91,9.2,81.76
921,Filatex India,54.34,21.79,2411.97,0.26,34.84,87.21,1025.84,-2.0,12.65,110.66
922,Vardhman Special,296.0,26.32,2411.2,0.69,32.79,139.69,439.41,4.12,17.78,91.63
923,Geojit Fin. Ser.,100.74,16.66,2409.19,1.46,51.91,77.29,208.13,87.81,18.81,144.85
924,Optiemus Infra.,279.85,42.32,2402.73,0.53,24.04,39.61,490.1,43.94,15.42,56.76
925,Uniparts India,532.35,19.25,2402.73,2.72,28.63,-36.81,289.88,-11.69,18.15,124.69
926,Jubilant Inds.,1584.25,44.95,2387.0,0.0,22.01,17.66,300.32,-12.54,23.75,53.11
927,Fino Payments,284.6,27.47,2368.27,0.0,25.21,14.18,41.4,40.82,8.68,86.22
928,Sasken Technol.,1562.0,29.92,2355.19,1.59,17.21,0.7,108.99,5.93,12.43,78.72
929,Indrapr.Medical,256.2,18.93,2348.62,1.2,31.17,57.11,314.73,14.84,38.08,123.96
930,Disa India,16051.0,52.15,2334.13,0.68,13.16,27.4,96.37,26.35,25.97,44.76
931,Jyoti Structures,27.48,80.6,2328.52,0.0,14.12,154.41,128.96,-17.24,1.1,28.86
932,RPSG Ventures,702.35,11.79,2323.8,0.0,-94.78,22.96,2019.97,12.73,12.47,197.01
933,Spright Agro,43.07,198.58,2307.49,0.0,5.78,29000.0,43.76,1907.34,38.62,11.62
934,XPRO India,1046.7,50.84,2306.38,0.19,12.43,226.7,128.41,3.33,15.99,45.35
935,BF Investment,611.1,5.29,2301.39,0.0,250.24,119.34,12.93,149.61,10.63,433.74
936,Owais Metal,1264.35,148.6,2298.88,0.0,8.68,,49.85,,51.27,15.47
937,Vidhi Specialty,460.0,62.74,2297.48,0.21,10.62,19.86,80.63,-9.88,17.25,36.62
938,Gokul Agro,155.1,16.81,2288.46,0.0,44.23,16.92,3937.6,49.21,23.37,135.75
939,Pennar Industrie,169.45,23.25,2286.69,0.0,28.81,22.58,822.8,23.09,15.78,98.34
940,Carysil,850.0,39.36,2281.89,0.23,15.76,24.94,190.53,30.89,16.9,57.89
941,GOCL Corpn.,459.6,49.44,2278.34,1.14,4.94,-60.55,186.0,-23.07,7.17,46.11
942,JITF Infra Logis,884.9,73.36,2274.54,0.0,40.95,311.7,875.27,37.91,14.11,31.0
943,Som Distilleries,116.8,26.07,2263.38,0.09,19.99,25.96,381.6,51.09,19.43,86.5
944,Apcotex Industri,435.6,41.92,2258.36,1.27,15.31,-34.04,310.58,21.27,13.47,53.88
945,Globus Spirits,783.0,23.54,2256.81,0.76,0.08,,589.94,,,96.04
946,Udaipur Cement,40.15,40.96,2250.54,0.0,19.79,17.17,348.35,18.23,7.72,54.97
947,Andhra Paper,563.95,6.6,2242.89,2.22,38.41,-76.72,364.38,-38.26,25.24,339.74
948,Paramount Comm.,73.9,26.14,2242.42,0.0,29.49,113.7,323.37,60.02,15.43,85.63
949,IKIO Lighting,289.9,36.96,2240.33,0.0,9.52,-31.36,94.79,-17.5,21.64,60.57
950,IFGL Refractori.,619.75,27.39,2233.53,1.1,12.54,-57.38,393.94,7.01,9.03,81.67
951,SG Finserve,404.0,28.26,2221.1,0.0,23.8,69.4,58.55,112.6,12.18,78.58
952,Parag Milk Foods,185.95,24.48,2219.76,0.0,9.81,-56.11,790.12,-1.35,10.97,90.58
953,Amrutanjan Healt,761.85,48.97,2202.54,0.6,13.66,7.56,127.06,26.65,21.34,44.97
954,Seshasayee Paper,348.7,8.44,2199.19,1.45,53.16,-54.11,539.36,-5.89,20.24,259.37
955,Rashi Peripheral,333.65,16.45,2198.73,0.0,47.06,35.35,3002.23,32.9,14.37,133.57
956,TajGVK Hotels,348.85,29.44,2187.33,0.0,25.85,79.02,115.84,11.79,18.65,74.4
957,Genesys Intl.,552.0,101.12,2184.39,0.0,14.79,639.5,71.17,52.66,8.4,21.61
958,Suratwwala Busi.,125.8,78.49,2181.61,0.0,5.59,648.04,21.08,96.83,54.99,27.79
959,Hil Ltd,2890.0,68.78,2179.31,1.31,-0.11,-54.55,852.01,-1.3,1.82,31.68
960,Media Matrix,19.23,434.8,2178.25,0.0,2.34,1407.69,280.31,7.63,5.56,5.01
961,Sangam India,433.25,50.76,2176.9,0.45,12.55,-70.97,706.06,2.67,6.95,42.87
962,Siyaram Silk,479.05,11.75,2173.44,2.3,68.99,-21.9,646.37,-6.97,20.41,184.68
963,Yasho Industries,1901.1,37.96,2167.11,0.03,15.85,13.46,176.06,19.35,12.71,57.12
964,V2 Retail,623.95,79.08,2158.22,0.0,3.87,147.37,296.04,53.05,10.69,27.29
965,John Cockerill,4359.95,85.24,2153.84,0.17,3.62,-63.02,147.06,-23.64,14.03,21.01
966,Suryoday Small,202.2,9.98,2148.13,0.0,60.84,56.36,444.66,34.97,9.6,215.96
967,Epack Durable,223.85,60.55,2144.42,0.0,27.83,-19.29,525.7,-17.74,8.33,35.37
968,Ramco Inds.,246.95,20.25,2143.71,0.4,43.81,-22.13,364.91,4.26,3.14,105.72
969,Gandhar Oil Ref.,218.1,15.22,2134.53,0.0,12.11,-58.81,939.24,-4.81,21.7,140.52
970,Rupa & Co,266.85,29.23,2122.12,1.13,24.24,42.88,400.48,-1.55,10.09,72.59
971,Prataap Snacks,888.05,39.39,2120.07,0.11,12.38,-42.71,388.1,0.38,10.76,53.79
972,TCPL Packaging,2318.75,19.83,2110.06,0.99,30.2,9.58,382.8,0.48,20.13,106.54
973,M B Agro Prod.,240.27,84.77,2105.38,0.11,1.38,-94.31,145.68,-37.7,12.06,24.84
974,Sigachi Indust.,64.02,36.72,2101.15,0.15,15.17,105.46,104.13,43.79,17.22,57.18
975,TTK Healthcare,1486.45,33.45,2100.4,0.67,18.27,-10.53,181.06,0.51,8.67,62.84
976,Krsnaa Diagnost.,650.05,35.81,2099.0,0.41,18.42,55.97,159.33,37.52,10.1,58.56
977,Alicon Cast.,1290.05,34.22,2097.81,0.49,20.54,111.75,419.3,31.34,14.52,61.28
978,Divgi Torq,684.0,52.68,2091.91,0.49,9.21,-31.52,65.06,-11.29,9.5,39.74
979,Bombay Super Hyb,197.94,93.47,2077.11,0.0,3.13,63.87,30.12,-15.82,23.87,22.22
980,Praveg,846.0,161.0,2075.38,0.54,1.54,-70.21,32.52,73.72,9.37,12.89
981,Alpex Solar,846.9,91.52,2072.68,0.0,18.94,,199.84,,39.33,22.65
982,Kesar India,829.4,203.59,2049.68,0.0,3.57,,31.38,,66.6,10.07
983,Marine Electric.,154.45,79.55,2049.02,0.0,12.18,208.35,237.08,65.65,15.39,25.76
984,Orient Green,20.87,70.27,2046.75,0.0,-25.25,10.85,36.02,-18.93,6.97,29.1
985,DCM Shriram Inds,235.25,17.7,2046.46,0.84,38.64,22.55,511.69,-4.31,16.21,115.39
986,Welspun Special.,38.59,32.73,2045.6,0.0,40.03,396.65,151.27,9.78,19.58,62.47
987,Cantabil Retail,244.0,33.36,2040.83,0.37,18.35,1.66,194.12,11.61,17.96,61.13
988,Rel. Indl. Infra,1350.15,153.0,2038.76,0.27,3.69,-12.35,14.51,-17.7,4.2,13.32
989,Tanfac Inds.,2042.1,38.79,2036.94,0.35,12.67,-43.39,102.81,-11.01,34.14,52.48
990,Wheels India,832.0,29.93,2032.79,0.82,36.83,64.49,1164.19,-0.35,13.27,67.87
991,Peninsula Land,65.82,22.29,2031.85,0.0,24.3,-6.46,113.47,-21.87,26.56,91.02
992,Kalyani Invest.,4646.0,35.51,2030.32,0.0,22.94,722.22,22.61,306.65,1.07,57.19
993,Indian Hume Pipe,383.5,26.04,2020.37,0.38,43.67,172.77,404.28,-10.99,12.55,77.63
994,Pokarna,649.75,22.06,2014.45,0.09,15.51,48.73,161.59,0.25,18.34,91.35
995,B.L.Kashyap,89.18,38.27,2010.43,0.0,23.66,16800.0,341.18,23.65,14.28,52.53
996,Jagran Prakashan,92.26,12.2,2008.11,4.33,6.02,-74.13,509.64,10.94,10.63,164.92
997,Themis Medicare,217.1,45.91,1998.19,0.22,6.64,-21.05,97.82,22.12,13.88,43.52
998,Insecticid.India,672.4,19.39,1990.14,0.46,8.08,127.85,272.5,-9.74,13.18,102.63
999,Balmer Law. Inv.,894.5,11.83,1985.82,3.67,75.15,67.79,579.28,-5.09,17.83,168.0
1000,PNB Gilts,110.15,29.57,1982.81,0.0,68.13,722.73,473.88,52.7,6.81,67.04
1001,Mishtann Foods,18.57,5.74,1973.62,0.01,94.18,566.05,337.58,99.88,88.74,346.03
1002,Talbros Auto.,318.5,25.18,1966.03,0.19,49.79,18.9,202.68,15.85,21.56,78.24
1003,Servotech Power,88.11,173.3,1964.04,0.05,3.2,-44.92,120.79,25.61,11.3,11.33
1004,Nitin Spinners,348.45,14.91,1959.01,0.72,39.17,1.63,800.71,22.28,11.61,131.52
1005,Expleo Solutions,1260.0,21.62,1955.48,0.38,15.7,-45.97,255.41,10.53,20.47,90.44
1006,Updater Services,292.0,14.19,1954.82,0.0,24.16,149.84,631.77,10.41,25.66,138.08
1007,Aeroflex,150.95,46.78,1952.06,0.16,10.06,-19.71,77.75,10.96,26.48,41.76
1008,IRM Energy,472.45,22.63,1939.89,0.0,8.98,122.28,214.25,-11.89,15.65,85.67
1009,Rico Auto Inds,143.0,48.25,1934.8,0.5,16.29,-39.93,548.41,-9.05,8.27,40.06
1010,Precision Camshf,203.35,68.42,1931.53,0.48,3.35,-69.85,256.19,-8.03,6.01,28.23
1011,Shriram Properti,113.3,25.6,1930.08,0.0,20.12,32.11,302.24,156.46,10.3,75.38
1012,GTPL Hathway,171.3,17.99,1926.5,2.33,16.05,462.09,807.98,16.69,11.84,107.0
1013,Deep Industries,300.85,15.67,1925.44,0.8,36.68,11.72,119.66,15.66,10.25,122.58
1014,T N Newsprint,278.1,9.27,1924.69,1.79,32.99,-67.92,1231.14,-13.74,14.23,208.16
1015,Mufin Green,125.0,116.78,1921.67,0.0,4.05,67.67,32.21,139.12,10.48,16.46
1016,Spacenet Enterpr,34.87,183.45,1915.19,0.0,1.69,55.05,47.72,68.62,14.4,10.44
