,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
342,V-Guard Industri,413.0,77.78,17958.46,0.34,79.17,70.88,1261.63,16.76,16.07,230.91
343,Cams Services,3648.3,53.18,17946.99,1.28,102.99,38.5,310.46,24.56,48.39,337.38
344,HFCL,124.15,54.3,17910.67,0.17,109.36,52.27,1326.06,-7.46,13.26,329.81
345,Nuvama Wealth,5050.0,28.64,17864.71,0.0,180.74,111.64,927.38,51.34,16.54,624.84
346,Jindal Saw,558.4,11.17,17855.08,0.71,480.37,61.47,5425.16,4.57,21.38,1596.7
347,Navin Fluo.Intl.,3598.35,78.09,17840.21,0.34,70.37,-48.39,601.95,-13.65,10.53,228.47
348,Aster DM Health.,354.5,141.58,17707.71,0.0,-2.17,-9.4,973.59,20.65,4.28,125.08
349,Chalet Hotels,811.35,63.61,17695.65,0.0,82.44,78.95,418.26,23.79,9.88,278.17
350,Aadhar Hsg. Fin.,414.15,23.53,17664.33,0.0,201.76,26.48,691.79,24.55,11.36,749.64
351,Lak. Mach. Works,16477.0,47.18,17632.4,0.46,65.98,-29.89,970.65,-25.51,19.13,373.66
352,GE Shipping Co,1232.0,6.77,17594.7,2.35,905.08,25.38,1497.33,2.84,20.15,2614.18
353,Action Const.Eq.,1475.95,53.55,17576.09,0.07,98.45,108.78,835.84,36.17,42.25,328.16
354,Chambal Fert.,438.25,13.72,17558.65,1.74,96.79,2.98,2643.04,-26.56,21.0,1275.75
355,TBO Tek,1616.5,84.79,17553.23,0.0,46.4,75.57,369.07,31.15,42.09,206.94
356,Kirl. Brothers,2181.4,50.37,17322.3,0.28,152.8,51.69,1223.8,8.82,27.69,343.56
357,Data Pattern,3091.8,95.27,17309.18,0.15,71.1,28.43,182.29,-1.52,20.14,181.69
358,Affle India,1229.75,57.95,17242.24,0.0,87.49,40.25,506.22,42.27,16.25,297.26
359,Guj.St.Petronet,304.45,10.59,17177.46,1.64,663.11,19.46,4532.2,6.14,21.28,1628.04
360,Aptus Value Hou.,343.45,27.91,17137.24,1.25,164.03,21.23,374.54,25.47,14.67,611.9
361,Karur Vysya Bank,213.0,10.65,17134.54,0.96,456.1,35.01,2184.57,23.54,7.5,1604.81
362,Alembic Pharma,869.0,27.73,17081.3,0.92,178.21,16.78,1516.98,7.86,13.2,615.82
